,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
106,POINT (3.5396808652577323 51.17055746028861),300.0,0.00012295063919075984,0.03688519175722795,6758.2,0.010325245224574084,0.0007051257305194352,0.11548096277993651,0.0008407702451346458
107,POINT (3.5396049128860185 51.17065414584549),300.0,0.00012295063919075984,0.03688519175722795,6758.2,0.010325245224574084,0.0007051257305194352,0.11548096277993651,0.0008407702451346458
108,POINT (3.557777790196752 51.14051409424311),90.0,0.0009527863958076041,0.08575077562268436,906.0666666666667,0.003097573567372225,0.005464259541834958,0.015482443699428024,0.0002620550047976937
109,POINT (3.549959573249527 51.15382040109113),2341.2800958556527,0.015433156455100662,36.133342024553365,6758.2,0.0805809704304131,0.0885096311109006,0.11548096277993651,0.8236323951213985
110,POINT (3.5582602507519643 51.139692489880474),90.0,0.0009527863958076041,0.08575077562268436,906.0666666666667,0.003097573567372225,0.005464259541834958,0.015482443699428024,0.0002620550047976937
111,POINT (3.5582602507519643 51.139692489880474),90.0,0.0009527863958076041,0.08575077562268436,906.0666666666667,0.003097573567372225,0.005464259541834958,0.015482443699428024,0.0002620550047976937
112,POINT (3.5670842336793567 51.104385946287934),115.0,0.011441490566418524,1.3157714151381301,906.0666666666667,0.003958010669420065,0.06561730339083428,0.015482443699428024,0.004021007180435076
113,POINT (3.3488482410545104 50.82045381244278),814.0,0.0010927919413103167,0.8895326402265977,20946.866666666665,0.028015832042677682,0.00626719568921199,0.3579302669186508,0.0628456474637428
114,POINT (3.347948146213887 50.8210735087433),273.0,0.0010927919413103167,0.29833219997771643,20946.866666666665,0.009395973154362415,0.00626719568921199,0.3579302669186508,0.02107722574643954
115,POINT (3.3522034857836327 50.816374705601014),1269.0,0.0009344327799296227,1.1857951977306913,20946.866666666665,0.04367578729994837,0.005359000985321432,0.3579302669186508,0.08377665258219036
116,POINT (3.3522034857836327 50.816374705601014),1269.0,0.0009344327799296227,1.1857951977306913,20946.866666666665,0.04367578729994837,0.005359000985321432,0.3579302669186508,0.08377665258219036
117,POINT (3.352744438696312 50.815612777411175),1269.0,0.0009344327799296227,1.1857951977306913,20946.866666666665,0.04367578729994837,0.005359000985321432,0.3579302669186508,0.08377665258219036
118,POINT (3.364897220988584 50.798491524748954),746.0,0.00014123265489169237,0.10535956054920251,20946.866666666665,0.025675443125107555,0.0008099736577960642,0.3579302669186508,0.007443672665595864
119,POINT (3.36481550103054 50.79860671377302),746.0,0.00014123265489169237,0.10535956054920251,20946.866666666665,0.025675443125107555,0.0008099736577960642,0.3579302669186508,0.007443672665595864
120,POINT (3.37801020557338 50.780296177257696),45.0,0.0023467345545467,0.1056030549546015,20946.866666666665,0.0015487867836861124,0.013458595481903788,0.3579302669186508,0.007460875590895154
121,POINT (5.268428364806247 51.73970801803126),304.0,0.000179372437790556,0.05452922108832902,5975.266666666666,0.010462915160901738,0.0010287064960750783,0.10210256392730736,0.0010989573400961756
122,POINT (5.268604703688152 51.73974086723471),304.0,0.000179372437790556,0.05452922108832902,5975.266666666666,0.010462915160901738,0.0010287064960750783,0.10210256392730736,0.0010989573400961756
123,POINT (4.38692748025969 51.24636875920845),1.0,0.00035103654750178554,0.00035103654750178554,21240.733333333334,3.441748408191361e-05,0.0020132054914507457,0.3629517231637453,2.514873179159397e-05
124,POINT (4.386590886791672 51.246468416094665),1.0,0.00035103654750178554,0.00035103654750178554,21240.733333333334,3.441748408191361e-05,0.0020132054914507457,0.3629517231637453,2.514873179159397e-05
125,POINT (4.3007952076041205 51.36844579484115),2341.2800958556527,0.022258882190051264,52.1142778275629,285.8,0.0805809704304131,0.1276553799810217,0.004883616815499076,0.050235785383782164
126,POINT (5.689504956661677 50.79537993694415),2341.2800958556527,0.02386356818479613,55.87129720715739,9047.8,0.0805809704304131,0.13685830394909665,0.15460457740823141,1.7050063267514832
127,POINT (3.66038713272913 51.08710582092282),373.0,0.003288463889398643,1.226597030745694,9050.4,0.012837721562553778,0.018859442436093214,0.154649004992977,0.03744242177883755
128,POINT (3.66038713272913 51.08710582092282),373.0,0.003288463889398643,1.226597030745694,9050.4,0.012837721562553778,0.018859442436093214,0.154649004992977,0.03744242177883755
129,POINT (4.233457594174837 51.42878419477578),2341.2800958556527,0.00012283100627535649,0.2875817901464129,5682.666666666667,0.0805809704304131,0.0007044396320377748,0.0971027518901659,0.005511982280837262
130,POINT (4.233432225588205 51.42890437751545),2341.2800958556527,0.00012283100627535649,0.2875817901464129,5682.666666666667,0.0805809704304131,0.0007044396320377748,0.0971027518901659,0.005511982280837262
131,POINT (4.606928931889641 51.1597401158452),291.0,0.022893870100471742,6.662116199237277,4898.666666666667,0.010015487867836861,0.13129705534890296,0.08370612633610267,0.1100738963914892
132,POINT (4.606928931889641 51.1597401158452),291.0,0.022893870100471742,6.662116199237277,4898.666666666667,0.010015487867836861,0.13129705534890296,0.08370612633610267,0.1100738963914892
133,POINT (4.5916300577397795 51.13364862213306),2008.0,0.00011592705461366376,0.23278152566423682,4940.8,0.06911030803648253,0.0006648452550506903,0.0844260810427496,0.0038791808983880426
134,POINT (4.591551088854936 51.13373349260624),2008.0,0.00011592705461366376,0.23278152566423682,4940.8,0.06911030803648253,0.0006648452550506903,0.0844260810427496,0.0038791808983880426
135,POINT (4.592221126321563 51.127913612713385),1443.0,0.00010499929474733711,0.15151398232040744,4940.8,0.049664429530201344,0.0006021742131642839,0.0844260810427496,0.0025249003089007874
